utm_x,utm_y
1000.0,2000.0
999.6580664431982,2000.062039209175
999.6170254826704,2000.4205698026456
999.708157831142,2000.2650727661924
999.4182342357547,2000.1582308879533
999.1841976640457,1999.782806077035
999.6591883576309,1999.7056679649966
999.3619508316326,1999.9541627427918
999.1959672081981,1999.9346645238002
999.3279430864875,2000.1925523427442
999.0378838289638,2000.1874140515617
999.0615073903373,2000.1404611692578
998.7604830579972,2000.5419049535158
999.0539766612177,2000.3824151519375
999.0144455460822,2000.2595083197677
999.1013816469517,2000.6577785809905
998.6754555482406,2001.061372105232
998.6733422938349,2001.2554724616052
998.4316436306234,2001.1635046016975
998.4082851058872,2000.803469247158
998.1365945349663,2000.7021520694202
998.4940970368799,2000.52713495635
998.9550902643533,2000.9905405879858
998.8144286786738,2001.3626037990139
999.0043013293067,2001.0357296138723
999.2272162892745,2001.4081168072973
998.7909965321548,2000.977508080841
999.1870646115219,2000.5364914805107
999.2961265488043,2001.0203136880905
999.3995693919791,2001.104868853585
999.1633387837323,2000.7113307383283
999.5400881256204,2000.7695227836293
999.4739844407039,2000.460408466411
999.9502955043415,2000.7236869920653
1000.282292501564,2000.8551773368365
1000.5029218285212,2000.8860486898893
1000.5255717735306,2000.942943753945
1000.860090715918,2001.1639769948922
1000.975824079664,2000.7202926405746
1000.9253782272879,2000.2310665408604
1001.3429686164193,1999.7739790224048
1001.6959862446578,1999.5977114811967
1001.3044427167107,2000.0814668115067
1001.618878189775,2000.0578251660224
1001.7695513908035,2000.0187890507295
1001.6572815993118,1999.6792011739935
1002.0913622911867,1999.4305104879377
1002.2598971035393,1999.6303915545222
1002.331479952881,1999.3859846237708
1002.0710428177867,1999.0406087631209
1002.1887651095044,1998.6436283554478
1002.2244569367151,1998.2454877491357
1002.2127266819446,1998.2717953909118
1002.3172261342891,1997.8660193187395
1002.531545930516,1997.554146746571
1002.5394240651138,1997.372730177933
1002.4761643637877,1997.2476727801586
1002.1691654580874,1997.2992328387747
1002.0556129159418,1997.42205295179
1002.3141240629566,1997.2245299947922
1002.369354984053,1996.8096094024393
1002.6188312667107,1996.9327262158074
1002.8827406424209,1996.65199794536
1003.2636927314802,1996.168275735241
1003.6385812513525,1995.991490038938
1003.4912703646274,1996.105609958826
1003.4464034412682,1996.3386065893258
1003.4798545678949,1996.6352713026388
1003.3390991444327,1996.6216527291933
1003.4183866254983,1996.4328277960262
1003.765814788005,1996.5689623260732
1004.060310275959,1996.556033746083
1003.7207385045068,1996.6675117357472
1003.6103843277649,1997.0977842738735
1003.9939413460759,1997.4740973184541
1003.8992326098934,1997.428623061374
1004.178187332384,1997.7233258589615
1004.3747262355744,1997.586046699418
1004.5290811857993,1997.5372968549439
1004.9843447988055,1997.935104043314
1005.460935551148,1998.1058021426552
1005.4991701991988,1998.5640371261256
1005.3527953575508,1998.1659468770406
1004.9684072054814,1998.1560939078565
1005.1390395961109,1998.577263518335
1005.3046931347516,1999.0107976877448
1005.2728055080395,1999.4749378935232
1005.3133537268641,1999.6529028178215
1005.0962199645751,1999.768316135463
1005.2591513901936,1999.6535877049484
1004.9240706326678,2000.1222993752372
1005.0981610031282,1999.8916789336595
1004.9387181923828,2000.139964825961
1005.3241750535032,2000.512855662162
1005.3143705640601,2000.931025768025
1005.2065669438651,2001.3356545201682
1005.2531825703946,2000.8560020880009
1005.092632663981,2000.4644691149576
1005.3252026856653,2000.4087113669277
1005.5238954554824,2000.184246967272
1005.6765785588987,2000.621802722619
1005.2649018558865,2000.3777346155919
1005.1137479165161,2000.1901839120944
1004.977556555205,2000.5201900670895
1004.7772023884257,2000.9120602332478
1005.1544248197192,2001.0259511923282
1005.0814432639244,2000.8881350105305
1005.2832588292516,2000.9562701316552
1005.0456885252354,2001.1448779232157
1004.7822065957679,2001.4146810221462
1004.8674297969955,2001.008618959866
1005.2451881632861,2001.3393467764424
1005.5976539191948,2001.5148575251171
1005.9146845842095,2001.7614618243124
1005.8078953571184,2001.624574114803
1005.3232869722541,2001.3884376206843
1005.6607584997229,2001.2496833851649
1005.2868601451781,2001.6420426349275
1004.9502278568101,2001.4182259135694
1004.9425772390944,2001.6845599658532
1005.2682071820813,2001.3178115361927
1005.3369843963629,2001.3624863827017
1005.1993845000206,2001.037939852253
1005.212011763613,2000.730167000934
1005.7029110877894,2001.1630880094979
1005.854590265923,2001.3971465041232
1005.7150151672286,2000.9303452771642
1005.3645576576948,2000.4687153762761
1004.9859808401902,2000.507714339364
1004.8126349725677,2000.946122181337
1005.2531035371101,2001.1692510762603
1005.658612634122,2000.8630628940145
1005.8321182661653,2001.286153468159
1005.7251718049481,2000.96639181176
1005.8223481059749,2001.06515576467
1005.4115022145376,2000.5904146888154
1005.136441904242,2000.889105562043
1004.7756903065699,2000.6625895147367
1005.2617647507584,2000.9633465421623
1005.2192851538823,2001.3893284465712
1005.7115147552499,2000.9659716763097
1005.2357489046728,2000.671540000946
1005.6701638929289,2000.8095058073802
1005.1764820688061,2001.1521911171099
1005.3533899954807,2000.9480027719296
